MES,AÑO,PAIS DE PROCEDENCIA,CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO 1,CIUDAD DE DESTINO 2,CIUDAD DE DESTINO 3,CIUDAD DE DESTINO 4,CIUDAD DE DESTINO 5,SEXO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA EN DIAS,CANTIDAD DE VIAJEROS,MOTIVO,TRANSPORTE
3,"2,023",Colombiano,ATLANTICO,TUNJA,VENTAQUEMADA,VILLA DE LEYVA,NA,NA,Masculino,Turismo Cultural.,2,4,TURISMO CULTURAL Y PATRIMONIAL,VEHICULO PARTICULAR
3,"2,023",Colombiano,CUNDINAMARCA,PAIPA,TIBASOSA,NA,NA,NA,Masculino,Turismo Cultural.,1,2,TURISMO CULTURAL Y PATRIMONIAL,VEHICULO PARTICULAR
3,"2,023",Colombiano,ANTIOQUIA,RAQUIRA,SACHICA,SUTAMARCHAN,SANTA SOFIA,TUNJA,Masculino,Turismo Cultural.,2,4,TURISMO CULTURAL Y PATRIMONIAL,VEHICULO PARTICULAR
3,"2,023",Colombiano,BOLIVAR,IZA,NOBSA,PAIPA,RAQUIRA,SACHICA,Masculino,Turismo Cultural.,1,4,TURISMO CULTURAL Y PATRIMONIAL,VEHICULO PARTICULAR
3,"2,023",Colombiano,MAGDALENA,DUITAMA,MONGUI,PAIPA,SOGAMOSO,TIBASOSA,Masculino,Turismo Cultural.,1,2,TURISMO CULTURAL Y PATRIMONIAL,VEHICULO PARTICULAR
3,"2,023",Colombiano,ANTIOQUIA,VILLA DE LEYVA,NA,NA,NA,NA,Masculino,Turismo Cultural.,2,4,TURISMO CULTURAL Y PATRIMONIAL,VEHICULO PARTICULAR
3,"2,023",Colombiano,BOGOTA,VILLA DE LEYVA,NA,NA,NA,NA,Masculino,Turismo Cultural.,1,2,TURISMO CULTURAL Y PATRIMONIAL,VEHICULO PARTICULAR
3,"2,023",Colombiano,SANTANDER,CHIQUINQUIRA,PAIPA,TUNJA,NA,NA,Masculino,Turismo de Naturaleza.,4,4,TURISMO DE NATURALEZA Y AVENTURA,VEHICULO PARTICULAR
3,"2,023",Colombiano,SANTANDER,CHIQUINQUIRA,DUITAMA,NOBSA,PAIPA,SABOYA,Masculino,Turismo de Naturaleza.,2,2,TURISMO DE NATURALEZA Y AVENTURA,VEHICULO PARTICULAR
3,"2,023",Colombiano,ANTIOQUIA,PAIPA,TOTA,TUNJA,NA,NA,Masculino,Turismo de Naturaleza.,4,4,TURISMO DE NATURALEZA Y AVENTURA,VEHICULO PARTICULAR
3,"2,023",Colombiano,BOGOTA,COMBITA,PAIPA,TUNJA,NA,NA,Masculino,Turismo de Naturaleza.,2,2,TURISMO DE NATURALEZA Y AVENTURA,AUTOBUS
3,"2,023",Colombiano,HUILA,PAIPA,VILLA DE LEYVA,NA,NA,NA,Masculino,Turismo de Naturaleza.,1,4,TURISMO DE NATURALEZA Y AVENTURA,VEHICULO PARTICULAR
3,"2,023",Colombiano,ANTIOQUIA,PAIPA,TUNJA,VENTAQUEMADA,NA,NA,Masculino,Turismo de Naturaleza.,2,4,TURISMO DE NATURALEZA Y AVENTURA,VEHICULO PARTICULAR
