ds,VISITAS,TIPO,LONGITUD,LATITUD,MUNICIPIO,INTENSIDAD_FORZADA,MES_STR,INTENSIDAD_MES_FORZADA
2023-03-01,16.000522648599333,OBS,-73.05431038,5.095234631,PAIPA,0.05,2023-03,0.4571777321228824
2023-04-01,14.004779184510532,OBS,-73.05431038,5.095234631,PAIPA,0.05,2023-04,0.22229611612171415
2023-05-01,16.001302033736465,OBS,-73.05431038,5.095234631,PAIPA,0.05,2023-05,0.4000350965051843
2023-06-01,62.00368392496215,OBS,-73.05431038,5.095234631,PAIPA,0.07094907556784731,2023-06,1.0
2023-07-01,86.0030735489106,OBS,-73.05431038,5.095234631,PAIPA,0.09841090364361789,2023-07,1.0
2023-08-01,126.00259417107216,OBS,-73.05431038,5.095234631,PAIPA,0.14418123262493962,2023-08,1.0
2023-09-01,86.00589263408567,OBS,-73.05431038,5.095234631,PAIPA,0.09841412944367453,2023-09,1.0
2023-10-01,57.00257629640501,OBS,-73.05431038,5.095234631,PAIPA,0.06522644844958041,2023-10,1.0
2023-11-01,62.00549492418576,OBS,-73.05431038,5.095234631,PAIPA,0.07095114784343863,2023-11,1.0
2023-12-01,59.00318080444378,OBS,-73.05431038,5.095234631,PAIPA,0.06751568404716198,2023-12,1.0
2024-01-01,0.002187081271173952,OBS,-73.05431038,5.095234631,PAIPA,0.05,2024-01,1.0
2024-02-01,0.005986289740762096,OBS,-73.05431038,5.095234631,PAIPA,0.05,2024-02,1.0
2024-03-01,0.0005879203077192585,OBS,-73.05431038,5.095234631,PAIPA,0.05,2024-03,1.0
2024-04-01,78.00473953254712,OBS,-73.05431038,5.095234631,PAIPA,0.08925863447795632,2024-04,0.6393911472897628
2024-05-01,76.00134136232474,OBS,-73.05431038,5.095234631,PAIPA,0.08696620217113381,2024-05,1.0
2024-06-01,73.00374414028616,OBS,-73.05431038,5.095234631,PAIPA,0.08353613578853356,2024-06,1.0
2024-07-01,35.00316057846391,OBS,-73.05431038,5.095234631,PAIPA,0.05,2024-07,0.972287985837569
2024-08-01,29.00250280743826,OBS,-73.05431038,5.095234631,PAIPA,0.05,2024-08,1.0
2024-09-01,96.00599902841327,OBS,-73.05431038,5.095234631,PAIPA,0.10985697056770047,2024-09,1.0
2024-10-01,56.00258416723272,OBS,-73.05431038,5.095234631,PAIPA,0.06408218551794943,2024-10,1.0
2024-11-01,397.4040670340101,PRED,-73.05431038,5.095234631,PAIPA,0.4547383219533928,2024-11,1.0
2024-12-01,-135.9707495235078,PRED,-73.05431038,5.095234631,PAIPA,0.05,2024-12,0.05
2025-01-01,83.08652146918385,PRED,-73.05431038,5.095234631,PAIPA,0.09507357494307613,2025-01,0.8418041108628463
2025-02-01,-43.94577635313466,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-02,0.05
2025-03-01,-198.8003420301539,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-03,0.05
2025-04-01,-597.7972330001849,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-04,0.05
2025-05-01,-145.1884813778036,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-05,0.05
2025-06-01,-581.949821510201,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-06,0.05
2025-07-01,-144.7135762335887,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-07,0.05
2025-08-01,-583.9741068716813,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-08,0.05
2025-09-01,-1063.6105030867275,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-09,0.05
2025-10-01,-583.5100610109416,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-10,0.05
2025-11-01,-868.7030524543944,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-11,0.05
2025-12-01,-710.7567341444474,PRED,-73.05431038,5.095234631,PAIPA,0.05,2025-12,0.05
2023-03-01,21.998593430514575,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2023-03,0.628558658697089
2023-04-01,38.00019564801782,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2023-04,0.6031723737395621
2023-05-01,31.000126635042434,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2023-05,0.7750080977145548
2023-06-01,40.99936943476967,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2023-06,0.6612408624685553
2023-07-01,73.99946439804256,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.08467551053758059,2023-07,0.8604281375590431
2023-08-01,81.99891697891911,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.0938290596452253,2023-08,0.6507716568723196
2023-09-01,57.00044245177108,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.06522400675104575,2023-09,0.6627504314649807
2023-10-01,37.9990304994424,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2023-10,0.6666195278938452
2023-11-01,40.99922562273332,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2023-11,0.6612192302127925
2023-12-01,36.99966110630156,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2023-12,0.6270790930565384
2024-01-01,-0.000729276096024023,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-01,0.05
2024-02-01,4.753030814441672e-05,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-02,0.05
2024-03-01,-0.0014196290181374138,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-03,0.05
2024-04-01,61.00008138178158,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.06980068134078211,2024-04,0.5000069515416103
2024-05-01,37.0000736928457,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-05,0.48683448251858513
2024-06-01,23.999410229093293,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-06,0.3287421831813902
2024-07-01,4.999555023489492,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-07,0.1388733818186546
2024-08-01,15.998877122053344,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-08,0.5516378096151798
2024-09-01,24.000473489539175,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-09,0.24998931038086653
2024-10-01,36.99900245791639,OBS,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-10,0.66066598547366
2024-11-01,120.99874753079386,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.13845547133242234,2024-11,0.30447284657617435
2024-12-01,-84.869954571209,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2024-12,0.05
2025-01-01,-27.214855186430235,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-01,0.05
2025-02-01,-72.36940145834959,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-02,0.05
2025-03-01,-255.83561194598525,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-03,0.05
2025-04-01,-173.3085472393615,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-04,0.05
2025-05-01,-231.04676643941025,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-05,0.05
2025-06-01,-200.15766944308922,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-06,0.05
2025-07-01,-239.7143071282291,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-07,0.05
2025-08-01,-191.9395520955303,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-08,0.05
2025-09-01,-127.14782917019213,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-09,0.05
2025-10-01,-193.29525448052044,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-10,0.05
2025-11-01,-69.74924921743545,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-11,0.05
2025-12-01,-276.9049654481438,PRED,-73.52237325,5.368733979,VILLA DE LEYVA,0.05,2025-12,0.05
2023-03-01,6.999632539389236,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2023-03,0.19999822507870602
2023-04-01,9.999807706731097,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2023-04,0.15872570255366003
2023-05-01,4.999473645714495,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2023-05,0.12498763651369636
2023-06-01,34.99938289219477,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2023-06,0.564472635763894
2023-07-01,54.9994675201722,OBS,-73.03060967,5.82298568,DUITAMA,0.06293434728817919,2023-07,0.6395058368337684
2023-08-01,64.99936730649227,OBS,-73.03060967,5.82298568,DUITAMA,0.07437695199645994,2023-08,0.5158573736842548
2023-09-01,47.999253798006826,OBS,-73.03060967,5.82298568,DUITAMA,0.05492419916591509,2023-09,0.5580926181676983
2023-10-01,33.99933037536655,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2023-10,0.5964525216996339
2023-11-01,51.99921497049479,OBS,-73.03060967,5.82298568,DUITAMA,0.05950124248867564,2023-11,0.8386226903611419
2023-12-01,50.000962851916846,OBS,-73.03060967,5.82298568,DUITAMA,0.05721469866434135,2023-12,0.8474282601413763
2024-01-01,3.0608380150454195e-05,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2024-01,0.05
2024-02-01,-0.0017349968570457008,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2024-02,0.05
2024-03-01,-0.0003483689649854682,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2024-03,0.05
2024-04-01,49.999788285267144,OBS,-73.03060967,5.82298568,DUITAMA,0.057213354640684784,2024-04,0.4098394813897572
2024-05-01,46.99949279527234,OBS,-73.03060967,5.82298568,DUITAMA,0.05378020070578102,2024-05,0.6184034643705756
2024-06-01,45.999407816775204,OBS,-73.03060967,5.82298568,DUITAMA,0.05263583152927317,2024-06,0.6300965568064752
2024-07-01,35.99945346681135,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2024-07,0.9999621612465068
2024-08-01,26.999434713947974,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2024-08,0.9309346470272021
2024-09-01,44.99929857574196,OBS,-73.03060967,5.82298568,DUITAMA,0.0514914345898261,2024-09,0.46871340365328923
2024-10-01,39.99932833694837,OBS,-73.03060967,5.82298568,DUITAMA,0.05,2024-10,0.7142407610603102
2024-11-01,156.36528370722647,PRED,-73.03060967,5.82298568,DUITAMA,0.17892440622331407,2024-11,0.3934667424876772
2024-12-01,94.73163320968038,PRED,-73.03060967,5.82298568,DUITAMA,0.10839874952258026,2024-12,1.0
2025-01-01,-102.83456532260271,PRED,-73.03060967,5.82298568,DUITAMA,0.05,2025-01,0.05
2025-02-01,-0.8591544726095677,PRED,-73.03060967,5.82298568,DUITAMA,0.05,2025-02,0.05
2025-03-01,392.0983332691176,PRED,-73.03060967,5.82298568,DUITAMA,0.44866711969573647,2025-03,0.4583367867114465
2025-04-01,579.0328664212973,PRED,-73.03060967,5.82298568,DUITAMA,0.6625710602245791,2025-04,0.7024086200237846
2025-05-01,421.95913392542354,PRED,-73.03060967,5.82298568,DUITAMA,0.4828359959329071,2025-05,0.48581851661917924
2025-06-01,583.7791337635791,PRED,-73.03060967,5.82298568,DUITAMA,0.6680020807545898,2025-06,0.7157502737926359
2025-07-01,431.11953501885966,PRED,-73.03060967,5.82298568,DUITAMA,0.4933179858449345,2025-07,0.4933179858449345
2025-08-01,581.5133574931666,PRED,-73.03060967,5.82298568,DUITAMA,0.6654094165505744,2025-08,0.695116390210164
2025-09-01,665.4663314309918,PRED,-73.03060967,5.82298568,DUITAMA,0.7614744487391261,2025-09,0.988668108837072
2025-10-01,581.1803288965704,PRED,-73.03060967,5.82298568,DUITAMA,0.6650283412729383,2025-10,0.7128901677913635
2025-11-01,741.6746853916717,PRED,-73.03060967,5.82298568,DUITAMA,0.8486775296173698,2025-11,1.0
2025-12-01,621.8749414370689,PRED,-73.03060967,5.82298568,DUITAMA,0.7115940444307424,2025-12,0.7279130015764594
2023-03-01,34.998473294623714,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2023-03,1.0
2023-04-01,63.00055722450172,OBS,-72.88398481,5.518603543,AQUITANIA,0.07208976971025018,2023-04,1.0
2023-05-01,39.99974545615673,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2023-05,1.0
2023-06-01,40.999029748723814,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2023-06,0.6612353839868853
2023-07-01,44.000817480744296,OBS,-72.88398481,5.518603543,AQUITANIA,0.05034890069219851,2023-07,0.5116191278410613
2023-08-01,88.999781878786,OBS,-72.88398481,5.518603543,AQUITANIA,0.10183995289185989,2023-08,0.7063329327803529
2023-09-01,51.99994758554473,OBS,-72.88398481,5.518603543,AQUITANIA,0.05950208079951864,2023-09,0.6046091261069736
2023-10-01,23.000343594367315,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2023-10,0.40349656258988914
2023-11-01,37.99987885110178,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2023-11,0.6128469565086822
2023-12-01,30.998906997010657,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2023-12,0.5253768792525164
2024-01-01,0.000465255011945942,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-01,0.2127287257579636
2024-02-01,0.0011967007694408949,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-02,0.1999069241991863
2024-03-01,-0.0015966838751850787,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-03,0.05
2024-04-01,37.00048725209989,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-04,0.3032864943357613
2024-05-01,20.99979258177391,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-05,0.27630818358403203
2024-06-01,20.99894371578685,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-06,0.2876420101883358
2024-07-01,36.00081569280191,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-07,1.0
2024-08-01,22.999755976036887,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-08,0.7930265925235305
2024-09-01,21.999894696599142,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-09,0.22915125012227835
2024-10-01,35.000277913741904,OBS,-72.88398481,5.518603543,AQUITANIA,0.05,2024-10,0.6249761226950786
2024-11-01,190.47898458591936,PRED,-72.88398481,5.518603543,AQUITANIA,0.21795975684006855,2024-11,0.4793080906482471
2024-12-01,-38.69863945417532,PRED,-72.88398481,5.518603543,AQUITANIA,0.05,2024-12,0.05
2025-01-01,98.70054136944098,PRED,-72.88398481,5.518603543,AQUITANIA,0.11294025975428658,2025-01,1.0
2025-02-01,8.644776650549943,PRED,-72.88398481,5.518603543,AQUITANIA,0.05,2025-02,0.1795920867694574
2025-03-01,298.78612527708066,PRED,-72.88398481,5.518603543,AQUITANIA,0.3418925786177927,2025-03,0.3492610423300845
2025-04-01,161.12893704214213,PRED,-72.88398481,5.518603543,AQUITANIA,0.18437532105680982,2025-04,0.195461019360036
2025-05-01,319.297603442708,PRED,-72.88398481,5.518603543,AQUITANIA,0.36536328748958385,2025-05,0.36762016885742105
2025-06-01,150.61227524818776,PRED,-72.88398481,5.518603543,AQUITANIA,0.17234140008456952,2025-06,0.18466020967628444
2025-07-01,337.4729668967454,PRED,-72.88398481,5.518603543,AQUITANIA,0.3861608458529578,2025-07,0.3861608458529578
2025-08-01,174.00708851272194,PRED,-72.88398481,5.518603543,AQUITANIA,0.19911142839788518,2025-08,0.20800068937258268
2025-09-01,61.211845209122,PRED,-72.88398481,5.518603543,AQUITANIA,0.07004299674589087,2025-09,0.09094103846124621
2025-10-01,169.22381311791514,PRED,-72.88398481,5.518603543,AQUITANIA,0.19363806059189026,2025-10,0.20757411517517857
2025-11-01,176.7931696657616,PRED,-72.88398481,5.518603543,AQUITANIA,0.20229946287829428,2025-11,0.23837023582974082
2025-12-01,130.16322119681678,PRED,-72.88398481,5.518603543,AQUITANIA,0.1489421213749763,2025-12,0.1523578049588023
2023-03-01,14.998791770363912,OBS,-72.98589814,5.560497374,TUNJA,0.05,2023-03,0.4285556013858453
2023-04-01,10.998560157341345,OBS,-72.98589814,5.560497374,TUNJA,0.05,2023-04,0.17457877583761855
2023-05-01,14.999171503502657,OBS,-72.98589814,5.560497374,TUNJA,0.05,2023-05,0.37498167381947667
2023-06-01,36.9990881359942,OBS,-72.98589814,5.560497374,TUNJA,0.05,2023-06,0.5967240298297612
2023-07-01,56.998366235754624,OBS,-72.98589814,5.560497374,TUNJA,0.0652216309953209,2023-07,0.6627480145036818
2023-08-01,64.99912895290271,OBS,-72.98589814,5.560497374,TUNJA,0.07437667925513608,2023-08,0.5158554820280462
2023-09-01,40.99931877234024,OBS,-72.98589814,5.560497374,TUNJA,0.05,2023-09,0.47670360154010516
2023-10-01,24.999642335519518,OBS,-72.98589814,5.560497374,TUNJA,0.05,2023-10,0.43857039382790447
2023-11-01,25.999857362455206,OBS,-72.98589814,5.560497374,TUNJA,0.05,2023-11,0.41931537510095324
2023-12-01,23.99965790450583,OBS,-72.98589814,5.560497374,TUNJA,0.05,2023-12,0.40675193400248544
2024-01-01,-0.0006400065809764044,OBS,-72.98589814,5.560497374,TUNJA,0.05,2024-01,0.05
2024-02-01,-0.0010504565599704918,OBS,-72.98589814,5.560497374,TUNJA,0.05,2024-02,0.05
2024-03-01,-0.001182240515937849,OBS,-72.98589814,5.560497374,TUNJA,0.05,2024-03,0.05
2024-04-01,121.9984666087291,OBS,-72.98589814,5.560497374,TUNJA,0.1395994218191851,2024-04,1.0
2024-05-01,67.99919007015457,OBS,-72.98589814,5.560497374,TUNJA,0.07780956500388705,2024-05,0.894710393938692
2024-06-01,37.9990434793844,OBS,-72.98589814,5.560497374,TUNJA,0.05,2024-06,0.5205081455324306
2024-07-01,5.998359159617312,OBS,-72.98589814,5.560497374,TUNJA,0.05,2024-07,0.1666173125298558
2024-08-01,16.999256167762372,OBS,-72.98589814,5.560497374,TUNJA,0.05,2024-08,0.5861306619166184
2024-09-01,33.99918991226834,OBS,-72.98589814,5.560497374,TUNJA,0.05,2024-09,0.35413609833075305
2024-10-01,37.99951190240657,OBS,-72.98589814,5.560497374,TUNJA,0.05,2024-10,0.6785314011391673
2024-11-01,335.2229346038951,PRED,-72.98589814,5.560497374,TUNJA,0.3835861970406593,2024-11,0.8435317159831848
2024-12-01,-196.97841471330906,PRED,-72.98589814,5.560497374,TUNJA,0.05,2024-12,0.05
2025-01-01,-30.236871787289285,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-01,0.05
2025-02-01,48.13562115154469,PRED,-72.98589814,5.560497374,TUNJA,0.05508024050182755,2025-02,1.0
2025-03-01,-603.420266295955,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-03,0.05
2025-04-01,-535.2738324798455,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-04,0.05
2025-05-01,-561.8650157583058,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-05,0.05
2025-06-01,-586.2613133586372,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-06,0.05
2025-07-01,-589.7819803289449,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-07,0.05
2025-08-01,-589.377287976397,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-08,0.05
2025-09-01,-542.7721829565708,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-09,0.05
2025-10-01,-587.3758235075729,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-10,0.05
2025-11-01,-348.2484078738659,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-11,0.05
2025-12-01,-746.8169763483968,PRED,-72.98589814,5.560497374,TUNJA,0.05,2025-12,0.05
2023-03-01,21.999338598417243,OBS,-72.98017623,5.61169614,IZA,0.05,2023-03,0.6285799501373298
2023-04-01,45.00042394683177,OBS,-72.98017623,5.61169614,IZA,0.05149272232038401,2023-04,0.7142861258587493
2023-05-01,25.999541002002474,OBS,-72.98017623,5.61169614,IZA,0.05,2023-05,0.6499926613408147
2023-06-01,22.000889709158777,OBS,-72.98017623,5.61169614,IZA,0.05,2023-06,0.35483197636747854
2023-07-01,25.99978162471029,OBS,-72.98017623,5.61169614,IZA,0.05,2023-07,0.3023122378286169
2023-08-01,76.00055341490675,OBS,-72.98017623,5.61169614,IZA,0.08696530054501478,2023-08,0.6031665769652468
2023-09-01,44.00084751746515,OBS,-72.98017623,5.61169614,IZA,0.05034893506237529,2023-09,0.5116027073245772
2023-10-01,19.998926719707754,OBS,-72.98017623,5.61169614,IZA,0.05,2023-10,0.3508425060600117
2023-11-01,28.000940733419863,OBS,-72.98017623,5.61169614,IZA,0.05,2023-11,0.45158805308556393
2023-12-01,23.000314860766522,OBS,-72.98017623,5.61169614,IZA,0.05,2023-12,0.3898148294241498
2024-01-01,-0.00017890507451312487,OBS,-72.98017623,5.61169614,IZA,0.05,2024-01,0.05
2024-02-01,-2.8910286584249434e-05,OBS,-72.98017623,5.61169614,IZA,0.05,2024-02,0.05
2024-03-01,-0.0005650064569575619,OBS,-72.98017623,5.61169614,IZA,0.05,2024-03,0.05
2024-04-01,20.00039389006867,OBS,-72.98017623,5.61169614,IZA,0.05,2024-04,0.16393971535899307
2024-05-01,17.99954050868036,OBS,-72.98017623,5.61169614,IZA,0.05,2024-05,0.2368318793594749
2024-06-01,19.000867672338682,OBS,-72.98017623,5.61169614,IZA,0.05,2024-06,0.2602725092541288
2024-07-01,26.999825080613533,OBS,-72.98017623,5.61169614,IZA,0.05,2024-07,0.7499781480232389
2024-08-01,24.0005511097992,OBS,-72.98017623,5.61169614,IZA,0.05,2024-08,0.8275337914507085
2024-09-01,15.000898151001357,OBS,-72.98017623,5.61169614,IZA,0.05,2024-09,0.15624959172146935
2024-10-01,19.99895854302511,OBS,-72.98017623,5.61169614,IZA,0.05,2024-10,0.35710778065713905
2024-11-01,-42.62157770741245,PRED,-72.98017623,5.61169614,IZA,0.05,2024-11,0.05
2024-12-01,76.81918960171879,PRED,-72.98017623,5.61169614,IZA,0.0879020429610137,2024-12,0.8109138098747445
2025-01-01,-4.513000139622115,PRED,-72.98017623,5.61169614,IZA,0.05,2025-01,0.05
2025-02-01,-77.13142428553273,PRED,-72.98017623,5.61169614,IZA,0.05,2025-02,0.05
2025-03-01,855.4808268444085,PRED,-72.98017623,5.61169614,IZA,0.9789027036535958,2025-03,1.0
2025-04-01,824.3533036392554,PRED,-72.98017623,5.61169614,IZA,0.9432843523505497,2025-04,1.0
2025-05-01,868.5530079459415,PRED,-72.98017623,5.61169614,IZA,0.9938608336565111,2025-05,1.0
2025-06-01,815.6184567981167,PRED,-72.98017623,5.61169614,IZA,0.9332893122275221,2025-06,1.0
2025-07-01,873.9181367580914,PRED,-72.98017623,5.61169614,IZA,1.0,2025-07,1.0
2025-08-01,836.5697682906739,PRED,-72.98017623,5.61169614,IZA,0.9572633100327156,2025-08,1.0
2025-09-01,673.0937566234956,PRED,-72.98017623,5.61169614,IZA,0.770202297346089,2025-09,1.0
2025-10-01,815.2452581821276,PRED,-72.98017623,5.61169614,IZA,0.932862271523946,2025-10,1.0
2025-11-01,629.4018839764221,PRED,-72.98017623,5.61169614,IZA,0.7202069135574496,2025-11,0.8486225785689864
2025-12-01,854.3259154462946,PRED,-72.98017623,5.61169614,IZA,0.9775811709498597,2025-12,1.0
2023-03-01,16.999895048639004,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-03,0.48573247482913606
2023-04-01,36.999872988246395,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-04,0.5872943767211105
2023-05-01,14.000244541805504,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-05,0.35000834085684407
2023-06-01,31.000239923267866,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-06,0.49997416219308605
2023-07-01,33.99980202245008,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-07,0.39533240638329203
2023-08-01,37.000273763994706,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-08,0.2936469205845071
2023-09-01,23.00038451496991,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-09,0.26742800766949365
2023-10-01,13.999958884724641,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-10,0.24560221299344287
2023-11-01,13.999972534292947,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-11,0.22578599769924812
2023-12-01,6.000002764830482,OBS,-72.83224493,5.768201449,TOTA,0.05,2023-12,0.10168947983866314
2024-01-01,-4.947093680485182e-05,OBS,-72.83224493,5.768201449,TOTA,0.05,2024-01,0.05
2024-02-01,0.0002191412170944318,OBS,-72.83224493,5.768201449,TOTA,0.05,2024-02,0.05
2024-03-01,-6.931006568322573e-05,OBS,-72.83224493,5.768201449,TOTA,0.05,2024-03,0.05
2024-04-01,18.99986486915908,OBS,-72.83224493,5.768201449,TOTA,0.05,2024-04,0.1557385547319627
2024-05-01,11.000254746361819,OBS,-72.83224493,5.768201449,TOTA,0.05,2024-05,0.14473763948349005
2024-06-01,13.000264693544821,OBS,-72.83224493,5.768201449,TOTA,0.05,2024-06,0.17807668423914158
2024-07-01,7.99983320004613,OBS,-72.83224493,5.768201449,TOTA,0.05,2024-07,0.22221255396848233
